"N", "btrack", "ms"
 2,            0,        0
 4,            0,        0
 6,            3,        0
 8,            0,        0
10,           24,        0
12,          121,        0
14,         1995,        0
16,            0,        0
18,         1178,        0
20,        10549,        0
22,       113388,        6
24,       766763,       18
26,    109471663,     2424
28,   9377984290,   269745
30, 851097325284, 20815950
32,            0,        0
34,     28828567,     2460
36,    746562946,    54727
38,   3096415405,   239088
40, 366208768760, 30344023
42,  21240701818,  2313756
